id,description,jobflag
2261,"Prepares compliance training scripts and leads trainings for the business on various compliance topics, including internal and external compliance requirements.",4
2262,"Consolidating call history and call quality data in disparate data warehouses into regional big data stores, fronting the data with a web UI for internal use and a REST API for partner access",3
2263,"Leads Corrective and Preventative Action documentation and response, including leading the site in the discipline of Root Cause Analysis and Corrective Action Planning.",3
2264,Use UML modeling tools to perform software code evaluations;,3
2265,Troubleshoot frontend and backend system issues,3
2266,Devices and network segments in-scope for PCI,4
2267,"Contribute to a workplace culture that emphasizes the identified mission, vision, guiding principles and values of the organization",3
2268,Conducts code reviews with peers and management,3
2269,Assist in translating documents or forms from English to language of origin.,4
2270,Evaluate various algorithmic approaches in information extraction,1
2271,"Hunting for quality datasets, including development from scratch (setting up the right process), for-fee acquisition of existing data, and bootstrapping corpora from messy and/or limited data sources",2
2272,Committed to delivering high quality work to QA,1
2273,"Supports external and internal clients by investigating complex access, configuration, compliance, functionality issues that have been escalated from external and internal clients; troubleshoots using different production and support applications, file archives, logs, and technical team contacts to resolve reported problems. (Approx. 50%)",4
2274,Design and build integrations with third party applications,3
2275,"Design, development, verification, and integration of specialized test hardware and software",3
2276,Create and update security operations processes and procedures as necessary.,1
2277,Fine tune applications and systems for high performance and higher volume throughput.,3
2278,Oversee the development of individual analytic efforts and guide team in analytic development process,1
2279,"Experience utilizing Design for Six Sigma Tools and concepts such as but not limited to: Pugh concept selection matrices, Fishbone Diagrams, Functional Block Diagrams, Transfer Functions, Statistical Analysis, Sensitivity against Variation, and Robustness against Noise.",3
2280,Apply statistical analysis and visualization techniques to various data,1
2281,Identifies any issues that may delay product or project and recommends appropriate action to be taken,3
2282,Assess the effectiveness and accuracy of new data sources and data gathering techniques.,1
2283,Assess issues / generate solutions in data handling created by the changing requirements in clinical data. Assist in User Acceptance testing.,1
2284,Create thoughtful solutions that engage and empower members to make more informed decisions about their health and healthcare,1
2285,Completes prototype and test software development,3
2286,Perform other related tasks as required,4
2287,Automate machine learning processes,2
2288,Creating roadmaps towards the deployment of a production-level machine learning application.,2
2289,Managing data science related projects for some of the most iconic businesses in the world.,1
2290,"Demonstrate experience as a senior resource with experience in key design and build activities such as gathering and documenting business requirements, leading fit-gap analysis, as-is and to- be business process designs, design workshop preparation, conference room pilots (CRPs), functional design and configuration, testing, participation in cutover etc.",4
2291,"Deep dive into data through systematic and ad hoc analyses and build machine learning models to score the identity, behavior, threat and other risk characteristics of the various entities.",1
2292,Port NUMECA software to new compilers and platforms.,3
2293,"Experience working at least one of the following languages: Node.js, Python, PHP, Ruby and Java.",3
2294,Perform data and error analysis to improve models.,1
2295,Lead and participate in incident response engagements to guide clients through forensic investigations contain security incidents and guide longer-term remediation recommendations.,4
2296,New Business Development is the key responsibility,3
2297,"Post production of the Clinical Study Database; undertake a review and analysis of the clinical data to identify potential issues with key Data Management deliverables: potential issues with eCRF form design, confusing data collection instructions or missing/incorrect edit checks that are leading to inaccurate collection of data.",1
2298,Work independently and possesses exceptional technical ability.,1
2299,Must follow and support agile methodologies and practices by actively participating in all SCRUM ceremonies,3
2300,"Design, develop, test, operate, and maintain software and firmware components and computing systems software to be applied to, and integrated with, engineering, scientific and manufacturing requirements",3
2301,Possess in depth understanding of computer science parallelism concepts and efficient data processing techniques suitable for machine learning applications,2
2302,"Actively contributes to the successful implementation of proposed solutions, resolving technical and design issues during the implementation phase and go-live",4
2303,"Define, escalate, and resolve all technical issues in an organized, efficient, and professional fashion.",2
2304,An ideal candidate will have a passion for discovering insight hidden in large data sets and working with stakeholders to improve business outcomes.,1
2305,Participate in group knowledge sharing as both a consumer and supplier of knowledge,3
2306,Correlating telephone calls with infrastructure in a graph database to quickly identify root cause,3
2307,Verifying product performance using commercial test equipment and field testing.,3
2308,"Properly define project scope, and estimate work effort",3
2309,"Defines and continuously updates our target cloud architecture to ensure continuous operations, effective monitoring for performance and security, and streamlined maintenance of the applications and databases.",3
2310,Development and continuous improvement of firmware design & support process best practices,3
2311,"Participates in and/or drives the system configuration which meets security, architecture, and support requirements, all while satisfying business needs",3
2312,"Designing detailed components for complex applications utilizing high-level architecture, design patterns and reusable code",3
2313,Work in an Agile environment to deliver high quality software while balancing the need to meet aggressive schedules,3
2314,"Provides counsel and advice to top management on significant engineering matters related to harvesting, managing, storing, and leveraging metadata, often requiring coordination between organizations.",4
2315,"Wearing, inspecting and caring for required personal protective equipment",3
2316,Development of fundamental statistical techniques and applications to bring additional insights from data,1
2317,Develop algorithms to automate dynamic model retraining to keep us operating at peak performance,1
2318,Assist the preparation of papers and technical reports to publish research results in public forums,2
2319,Accountable for the successful completion of engineering projects.,3
2320,Utilize solid development skills and gain an understanding of software architecture,3
2321,Tracks and evaluates software team and supplier performance to ensure product and process conformance to project plans and industry standards,3
2322,Generate business impact by creating new business intelligence and analytics,1
2323,"Detail orientation - attention and desire to work on large data ""crunching"" projects.",3
2324,"Manage test sample devices, i.e., shipping, return processing, managing expirations for each testing (F4L, FIT, Lab testing) event and phase. It also includes Maintenance Management and Delivery of device samples",3
2325,"Provide architectural input to all decisions impacting product integrity, system performance,",3
2326,Exercise your own judgment along with support from teammates to architect and implement proof of concept solutions,2
2327,Collaborate with cross-functional partners across the business.,1
2328,Identify what kind of data in which format should be collected in order to solve the problem.,2
2329,"Effectively explain technical concepts at all levels in the organization, including senior managers/stakeholders.",1
2330,Generate full stack AWS Cloud Solutions and continuous delivery frameworks so that CB IT delivery teams may produce efficient solutions,3
2331,Adhere to Genesys Code of Business Conduct and Ethics,3
2332,Understand customer expectations on to-be manufactured product.,3
2333,"Providing technical subject matter expertise in OSS and Microsoft big data technologies, to support architecture design sessions, and unblock critical scenarios for our partners.",1
2334,"Proficiency with MS Office Products (Word, Excel, Visio, & PowerPoint).",3
2335,Visit of national and international conferences on a regular basis,1
2336,"Requires travel to client sites as well as national conferences, approximately 10% of the time",3
2337,Managemental duties including but not limited to business development and related HR activities,4
2338,"Interpret, understand and extract value and meaning out of MSF global HR data;",1
2339,Write unit and integration tests.,3
2340,"Assist in evaluation, fitment, story boarding, drafting and production of RFP/RFQ",4
2341,Improve Cyber Security platforms,4
2342,Track record of root cause determination and effective corrective / preventive action implementation.,3
2343,Develop demand for and adoption of new products to increase sales,4
2344,Interface with 3rd party APIs and SDKs,3
2345,Lead continuous improvement activities relative to software development and systems methodologies,3
2346,"You'll closely work with product leaders, using data and strategies to measure and improve our search offerings through algorithms that improve search results, metric development and instrumentation, data investigations, designing and interpreting experiments, exploratory research, and influence evaluation.",1
2347,"Identify, record, document thoroughly and track bugs",3
2348,"As requested, deliver Business application specific expert consulting services",3
2349,"Create and investigate hypotheses related to audience engagement, ratings, content performance and monetization.",1
2350,Contribute to new architectures and design,3
2351,Any and all other duties assigned.,3
2352,Perform as a technical lead for projects as needed.,3
2353,"Assist Territory Managers with patient identification, screening programs, and patient education programs.",4
2354,Proactively engage with PA senior management to escalate persistent roadblocks,4
2355,"Act as a consultant and subject matter expert for Product Managers, Software Engineering teams, Sales Engineers, Site Reliability Engineers, and Strategic Customer Engineers to resolve technical deployment obstacles and to improve the product's vision.",3
2356,"Serve as a department representative to individuals, families, support staff, employers and referral sources as the individual progresses through the program",4
2357,Build and drive a business development pipeline by growing and maintaining strong client relationships,4
2358,Completes systems integration and software requirements,3
2359,"Deliver on time with a high bar on quality of research, innovation and engineering",1
2360,"Communicating and visualising insights to multiple levels of stakeholders with clarity, informing decision-making.",1
2361,Desire to work closely with electrical engineers and mechanical engineers to create innovative electro-mechanical concepts.,3
2362,Support Sales in the completion of complex RFI/RFP/RFQs.,3
2363,"Support process improvement projects (templates, standard terms, system updates, etc.) to drive operational efficiencies and standardization throughout the organization",4
2364,Use and integrate many and varied Java software packages,3
2365,"Although not required to start, this position requires the ability to obtain and maintain a DoD Secret or Top Secret clearance as well as Program Special Access within a reasonable amount of time as determined by the company to meet its business needs",3
2366,Develop and apply testing processes for new and existing products to meet client needs,3
2367,Collaborating with our machine learning infrastructure team to build support for new model types into our scoring infrastructure.,2
2368,Develop and extend the technical abilities of FMI,4
2369,Coordinate cross-functional solutions to achieve pack system level requirements and objectives that meet aerospace certification regulations.,3
2370,Optimization of resulting system based on evaluation to improve results and performance.,3
2371,"Feature engineering, exploring different model architectures and technologies, automating model comparison and feature selection to optimize performance",2
2372,Support the effective usage of BI for existing business operations and the development of new business areas and opportunities,1
2373,"Support Product Owners to lead product teams to deliver value continuously, fostering and maintaining close links with customers, related Solution groups e.g. Established Products and Core Tech",3
2374,Develop data and statistical reports for system performance and capacity,3
2375,Develop scalable and maintainable applications from specifications,3
2376,Set strategy and vision and to drive development of the business data services it relates to commercial data in US Oncology,1
2377,Ensure system can meet or exceed service level agreements,3
2378,Interface on occasion with the customer,3
2379,"Identifies and diagnoses data inconsistencies and errors, forages to fill data gaps and blazes new data trails. Creates derived characteristics.",1
2380,"Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future.",4
2381,Modify existing databases for any site programs to address new capabilities or needs.,3
2382,"Training and Performance Support, SAP for Public Sector Procurement",4
2383,"Promotes and supports company policies, procedures, mission, values, and standards of ethics and integrity",1
2384,Participate in Test design/plan review sessions with peers and other stakeholders,3
2385,An obsessive commitment to product quality and integrity at all stages of the software development process,3
2386,"Embrace, recommend and apply new technologies as needed",3
2387,"Architect, build, maintain, and improve new and existing suite of algorithms and their underlying systems.",2
2388,"Advocate forstrong Agile development methodologies (SCRUM), automated testing, andcontinuous integration",3
2389,"Deliver expert, hands-on technical support for urgent troubleshooting",3
2390,"Self-directed and comfortable supporting the devOps needs of multiple teams, systems and products",2
2391,Apply statistical techniques to the analysis of complex datasets.,1
2392,Other duties may be assigned.,3
2393,Clearly and regularly communicate with colleagues about progress and blockers,3
2394,The Global Identity team requires a new Federated Authentication Engineer.,4
2395,"Support existing Microsoft based production solutions, including problem resolution, monitoring, performance management and capacity management.",3
2396,Evaluating and identifying new technologies for use by the software development team,3
2397,"Desire to select, collaborate with, and manage internal and external partners to create component parts and/or assemblies using the following techniques:",3
2398,"Adhere to customer requirements, Quality System and company policies",3
2399,Ensure continuity of business execution i.e. operational support for relevant applications,3
2400,Plays an active role in identifying new pieces of legislation that could impact the business and works with the business to ensure any regulatory requirements are effectively implemented.,4
2401,Ensure the connectivity and network is always up and running.,3
2402,Contribute to the creation of new distributed components and interactions that align with the future system architecture. The existing system is developed on a cloud infrastructure with several consumer-facing web applications.,3
2403,Apply knowledge of U.S. businesses and corporate groups and relevant industry knowledge to analysis and insights,1
2404,"Collaborate with Marketing in the design, implementation, and analysis of marketplace research",1
2405,"Build relationships through consistent communication, business reviews, and forward planning strategies to drive sales with retail leaders and store management teams.",4
2406,Recommend improvements to existing software programs as necessary,3
2407,"Support software development tasks including detailed software design, coding, and unit/integration testing of customer desired features/user stories for new database applications.",3
2408,"Work on the core source code of our products with other engineers to identify, reproduce, and fix issues that are affecting our users.",3
2409,Collaborate with data team for in-house data management and labelling,2
2410,Developing new software and systems,2
2411,Use App Center to build and run pipelines for continuous delivery of value.,3
2412,"Real-time streaming of user data, ground segment performance data, weather data, and Space Terminal (ST) telemetry data",3
2413,Integration of opto-electronic hardware components in sensors to create detection systems,3
2414,Utilize and apply higher order complex statistical analysis.,3
2415,"Leveraging marketing materials and information (solutions, business cases) to support proposals",4
2416,Develop software solutions using Microsoft Visual Studio or other tools,3
2417,"Synthesizes analyses of data, uses the results to provide training and communications to the field",3
2418,"Supporting Marketing events  user conferences, trade shows, webinars etc.;",4
2419,"Provide support to application development staff with architecture, development and migration of Websphere / Appfluent / Cognos applications and integrated them into IBM PureApplication Cloud systems.",3
2420,Develop new ideas into AI driven products using our wealth of sports data,2
2421,Lead the organization and preparation of structural plans and specifications for construction documents.,3
2422,"Translate customer feedback into product design decisions, features, and functionality",3
2423,"Attend internal and external meeting as the company technical expert. These include, but are not limited to kick off meetings, design reviews, HAZOPs, Control Reviews, etc.",3
2424,"Technical - 70% - Large Hospital/IDN level requirement definition, workflow design, policy/procedure definition, education, etc.",4
2425,Determine and apply the right analytics method for a given business problem.,1
2426,Effective use of our CRM in each stage of the sales cycle to ensure strict monitoring of current opportunities;,3
2427,"Generate software test data, perform test data analysis, and develop test documentation.",3
2428,"Help the team deploy models to production, learn from customer feedback, and make frequent model improvements",2
2429,Help customers translate their data and problems in ways that our ML system can best solve them,1
2430,"Actively participates in the engineering community, staying up to date on new software technologies and best practices and shares insights with others in the organization.",3
2431,"Meets or exceeds company sales metrics by gaining profitable business,tracking relevant productivity metrics and adjusting activity",4
2432,"Apply understanding of technical issues surrounding the designing, building and testing of software development kits supporting Windows, Linux, iOS, and Android platforms and frameworks",3
2433,"Work collaboratively in a cross functional team including Engineering, Product Management, Partner Operations, Professional Services, and Sales.",4
2434,"Be an effective verbal and written communicator, summarizing key concepts and issues.",4
2435,Information retrieval (with web scraping and parsing),1
2436,Drive best practices for application development.,3
2437,"Work closely with AI Scientists to plan, develop, train and test machine learning models for the purposes of computational pathology.",2
2438,"Lead multiple projects and serve as project manager to identify issues, priorities, and goals",1
2439,"Ensure application performance meets customer and industry expectations, and produce written assessments to inform and assure our customers accordingly",3
2440,Research and improve features and machine learning models for production pipeline.,2
2441,Define and establish configuration parameters and business process adaptations for SAP Business projects,3
2442,"Responsible for consulting with business areas, clients, project managers, other departments on project status, proposals and technical issue",3
2443,"Analyzes and develops logical database designs, data models and relational data definitions across multiple computing environments (e.g., host based, distributed systems, client server, etc.).",3
2444,You will develop both internal web services and CLI tools to improve developer efficiency,3
2445,"Processing, cleansing, and verifying the integrity of data used for analysis",1
2446,"Work with stakeholders to create, draft, and communicate implementation standards to facilitate smoother operations and improve decision making.",4
2447,"Managing relationships with design engineers, independent our representatives, building owners, Architects, GC and mechanical contractors.",3
2448,Leverage DevOps and Data Architecture teams to deploy your code at scale.,1
2449,Lead and participate in code reviews,3
2450,"Build, maintain, and monitor configuration standards",3
2451,"Supporting all printer functions at assigned locations,",3
2452,"Perform regular TUB updates, BSI version upgrades and SUI rate updates",4
2453,"Create circuit designs, schematics, bill of materials, and circuit layout.",3
2454,Promote a culture of collaboration and inclusiveness.,3
2455,Business Analysis and Process Mapping,4
2456,Maintain relationships with all referral sources,4
2457,"Design, build and deliver scalable, efficient and reliable commercial quality code in an Agile",3
2458,"Facilitate and coordinate appropriate and effective communication channels within their project team, and across teams through the other Technical Team Leads",3
2459,"Define standards and processes to manage quality, consistency, usability, security, and availability of data throughout the data lifecycle",1
2460,"Collaborate with a cross functional agile team spanning user research, design, data science, product management, and engineering to build new product features that advance our mission to connect artists and fans in personalized and relevant ways",2
2461,"Develop and embed automated processes for predictive model validation, deployment, and implementation",2
2462,"Presentations to team members, management and customers",3
2463,Conducting design reviews on workstations and products.,4
2464,"Consult on data science and advanced analytics projects outside of core team goals. This includes, but is not limited to, promotional sensitivity, email segmentation, and client forecasting.",1
2465,"Architect, build and deploy on AWS",2
2466,"Helps the current security team for overseeing User Security, and audits.",4
2467,"Superior people skills; team-oriented, fast learner and very personable;",4
2468,"Directly responsible for the analysis, configuration, deployment and support of ProShip's solutions during implementation. Includes:",3
2469,"Rapidly problem solves and resolve data and analytics issues for adherence as needed, working closely with the adherence Strategy and Operations program leads, data stewards, IT, PSS Analytics franchise leads, brand teams and external partners.",1
2470,Develop computer models to simulate system and component performance.,3
2471,"Greets prospective residents, completes guest card information, establishes program eligibility, determines needs and preferences, conducts sales tours of the community and specific apartments while communicating features and benefits and secures applications from qualified persons. Prepares and qualifies applications for approval.",4
2472,"Demonstrate deep experience in manipulating data in a big data environment  experience of hive, SQL is a must.",1
2473,Work with stakeholders to understand how to integrate with and transform business processes.,1
2474,"Design, develop, document and test innovative, high-quality software",3
2475,"Assist in interpreting, validating, and maintaining statistical models",1
2476,Combine data features to determine search models.,1
2477,Consult stakeholders about how advanced analytics and a data-driven approach can help them achieve greater success in driving their business units. Evangelize data science and the mission of the Advanced Analytics team. Generate and effectively communicate the stories data tell us for each Advanced Analytics initiative,1
2478,Analyze software requirements and create solutions for them,3
2479,Working with internal customers to develop machine learning pipelines for computer vision based classification tasks,2
2480,Author algorithm description documents (ADDs) and guide software engineers who implement the ADDs into operational software.,3
2481,"Identify relevant data sources and sets to mine for client business needs (social media, CRM, POS, etc.).",1
2482,Lead incident response engagements to guide clients through forensic investigations contain security incidents and guide longer-term remediation recommendations.,4
2483,Perform statistical analysis and fine-tuning using test results,2
2484,Explore machine-learning-based optimizations for performance and energy efficiency,2
2485,Enhance data creation procedures to include information that is relevant for building analytic systems,1
2486,Monitors and evaluates competitive applications and products.,3
2487,"Excellent interpersonal, oral and written communication skills",4
2488,Generate and present a detailed analysis report,1
2489,Provide technical leadership in the introduction and implementation of new tools and techniques.,3
2490,Build testing frameworks to constantly improve model iterations and compare the performance of models and communicate results with stakeholders,1
2491,Conduct training and consulting at customer sites,3
2492,Perform impact analysis if potential solution has any impact with other salesforce components in the Org,3
2493,"Collaborate with other engineers, customer service staff, project managers and clients to design new features and modules for inclusion into our enterprise product to meet their needs, performance requirements, and project requirements.",3
2494,Perform exploratory and targeted data analyses using descriptive statistics and other methods.,1
2495,"Assess partners across multiple dimensions, identify and propose opportunities to partner on, and provide technical guidance during project implementation.",4
2496,Propose fundamental approaches to enable new capabilities and/or interpretations in neural network-based applications.,2
2497,Generating favorable specifications with design engineers and Architects,3
2498,"Preparation of plans and reports for project design elements, including grading, drainage, utilities, roadways.",3
2499,"This position determines computer user needs; analyzes systems capabilities to resolve problems on program intent, output requirements, input data acquisition, and programming techniques and controls.",3
2500,"Manage, maintain, refresh and upgrade environmental components (including patching, etc.)",2
2501,Optical part drawing package development,3
2502,"Build internal solutions, with custom front-ends (web, mobile) and back-end services that automate business processes. Maintain highest levels of development practices including: technical design; solution development; systems configuration; test documentation/execution; issue identification and resolution; writing clean, modular and self-sustaining code.",3
2503,Responds to telephone and email inquiries from prospective residents. Applies sales techniques to schedule tours of the property. Meets with potential residents and checks the availability of apartment homes based on preferences and budget.,4
2504,Author formal and informal reports that effectively communicate the models and the results to both technical and non-technical audiences,2
2505,Assist Network Engineering group in adhering to process and procedures laid out by management.,3
2506,Coordinates with fellow Sr. Compliance Consultants located throughout the world.,4
2507,"Participating in proprietary methodology to assess companies issues, opportunities and needs by:",4
2508,Creation of models for vision and decision making applications and implementation of models in projects.,3
2509,"Be a strong communicator, leader, and advocate for our customers. Deliver scalable and reliable business solutions to customers and partners.",3
2510,"Coach and mentor team members on agile standards and best practices, e., Lean, Kanban, Scrum, XP, DevOps, SAFe, LeSS, etc",3
2511,"Provide business and technical support for our customers and internal staff on Salentica's Microsoft Dynamics CRM, as well as in-house hardware/software components",4
2512,"Developing supervised, unsupervised, and reinforcement models in the laboratory",1
2513,"Proactively assist in the management of several clients, while reporting to Managers and above",1
2514,Partner with internal teams to define and implement solutions that improve internal business processes.,3
2515,"As an AI engineer, you will develop the software and systems needed for end-to-end execution of large-scale AI projects",2
2516,Provide technical support across IIS signal processing programs,3
2517,Implement batch and real-time model scoring to drive actions.,1
2518,Assist with answering requests for proposals for CR&B services,4
2519,"Work with customer to define, design and build to any additional derived requirements defined by the customer as needed.",3
2520,"Promote and facilitate Open Door process, effective and respectful communication",3
2521,"Encourage and initiate the use of agile and DevOps methodologies with patterns including continuous integration, testing, test-driven development, and delivery.",3
2522,Work with data and analytics experts to strive for greater functionality in our data systems.,4
2523,Assist in defining project scope and fee,3
2524,Perform information gathering and analysis for new business initiatives in order to design and develop impact scenarios.,1
2525,Document and communicate your work and outcomes to internal leadership team,1
2526,Drive cross-functional activities in the supply chain for supplier quality readiness in all New Product Introduction/ Product Life Cycle phases leading into general acceptance including deliverables and supplier factory validation.,3
2527,"Provides programming expertise and business analysis skills within an assigned business area, usually as a member of a project team, in analyzing, designing, modifying, and developing business applications.",3
2528,"Become an expert who understands solar energy efficiency, giving you the ability to show customers how to reduce their energy costs at no additional cost.",4
2529,"Plan, create, and maintain technical documentation for internal or external engineering audiences.",3
2530,Partner with cross-functional teams to execute product roadmap and ensure data is always a forethought in decision-making,1
2531,Work with backend team to develop and implement server-side solutions,3
2532,"Demonstrated discipline generating documentation for architecture, design, and user guides.",3
2533,"Design, Development, test, document, and maintain the current and next generation Software Defined Radios and Electronic Systems",3
2534,Team player who can work in a fast paced environment working directly with the customer.,3
2535,Review and approve assigned validation documents as the QA engineer role,3
2536,"Be (or become) the subject-matter expert on frameworks for model training and inference on edge devices, as well as model standardization (including Tensorflowlite, ONNX).",2
2537,"Help design and implement software, unit tests, and documentation in support of the SecureView product and related technologies",3
2538,Collaborate with data scientists/engineers/stewards on data extraction and data cleaning.,1
2539,"The candidate will also participate in software design review, technical interchange/management control meetings, and configuration control boards.",3
2540,"Work closely with software, hardware, validation/reliability and manufacturing engineering disciplines",3
2541,Writing simulation code using Scalding to run MapReduce jobs on our Hadoop cluster to help us understand what would happen across different segments if we changed how we action our models.,2
2542,Work with homeowners in storm damage areas,4
2543,Develop and execute systems level test cases/plans,3
2544,"This role conducts experimentation in various data science techniques, developing, executing, and maintaining scripts and prototypes to analyze, interpret, visualize, and gain knowledge from numerous data sets individually or in combination to meet mission needs.",2
2545,Technical input into the software components of the system designs,3
2546,Build and maintain client relationships and provide a high level of technical support for complex issues,4
2547,Independently develops forms and related materials that meet regulatory and legal requirements.,4
2548,Participate in our company's Continuous Improvement efforts by understanding his/her team's performance and actively implementing and supporting process improvements,3
2549,"Developing answers to questions via Java Map/Reduce, making them available via the corporate tool suites",3
2550,Assisting your team through requirements gathering and sprint design sessions for the Service Now HRSD application,4
2551,"Actively expand consulting skills and professional development through training courses, mentoring, and daily interaction with clients",4
2552,Recommends improved policies and procedures.,3
2553,"To this end, we use Python, R, Node.js, Angular 7/8/9 as well as data processing frameworks such as Hadoop. The team has been working on Machine Learning techniques as well to find new solutions to old problems.",3
2554,Develop tools and processes to deploy faster and at scale across the partner landscape.,4
2555,Consult around our product,4
2556,Providing support for integration of algorithms in MVPs (Minimum Viable Products).,1
2557,Provide support for production and flight systems.,3
2558,"Creates customer loyalty and grows customer share of wallet through a differentiated customer experience. Performs lobby engagement activities to connect with customers, successfully convert service to sales through internal interactions and position PNC products to meet customer needs. Also engages in outbound sales calling.",4
2559,Centralized mission data interface,3
2560,"Provide input to the Systems Vaccinology scientific strategy, processes and objectives in alignment with the GSK Vaccines R&D strategy.",1
2561,"Utilize system tools including (MySQL, Hadoop, Weka, R, Matlab,ILog).",1
2562,Be an integral part of the customer design cycle by being involved in every stage of new product development and planning.,3
2563,Research new and advanced predictive modeling techniques as appropriate for a specific solution,1
2564,"Create detailed documentation for digital prototypes, custom solutions and products and assist in customer and partner implementations",3
2565,Collect and consult on the best ways to warehouse the myriad datasets across the organization using SQL and other databases,1
2566,Stay up to date with current Data Science techniques and identify new opportunities to leverage them for forecasting initiatives and Anomaly detection,1
2567,Ability to setup and run all lab measurement equipment.,3
2568,Utilize Agile SDLC methodologies for all development activities,2
2569,Support clinical design of software in a highly innovative and fast-paced environment,1
2570,There is also an opportunity to work in Python for some of the time,3
2571,Develop a new data management tool for Commercial HVAC engineering data,3
2572,"Maintain detailed documentation of SOPs and policies pertaining to LAN/WAN structures, network map, computer inventory, PCI/regulatory requirements, and hardware/wiring diagrams.",3
2573,Acts as a conduit between Customers and Technical teams,4
2574,Partner with product leaders and engineers to understand the product roadmap,1
2575,"Development of dashboards, calculations and reports which may require programming in Spotfire, SQL, and/or VBA.",1
2576,Support the project manager to validate and ensure the quality of deliverables,4
2577,"Demonstrate rigor with code quality, best practices, and code review, while understanding product tradeoffs.",1
2578,"Provide sophisticated decision support to business leadership by creating and enhancing decision tools, models, presentations, and dashboards. Proactively interview SMEs to identify how data can help feature transformation, evaluation, and selection for new and existing products.",1
2579,Assist Chief Software Engineer and Technical Program Managers with overall continuous technical process improvements,3
2580,Contribute to SMART shipyard development,4
2581,Design and specify a test infrastructure using (or enhancing) the existing automation framework to execute the test plan,3
2582,Self-Starters. You're a go-getter who isn't afraid to step up and disrupt the status quo.,2
2583,Do test-driven unit and end to end testing of any code you develop.,3
2584,"Create algorithms to extract information from large, multiparametric data sets",2
2585,Maintain a high-level overview of technical competence and domain knowledge of Dynamics ERP products,4
2586,Ability to communicate complex and diverse engineering and programmatic topics to achieve team consensus,3
2587,Write and update technical documentation posted to wiki,3
2588,Support the sales team by conducting discovery calls and product demonstrations for our active deals.,3
2589,Sizing or guiding others in sizing of the equipment needed to process the gas.,3
2590,"Design and build advanced automated build, test, and release infrastructure.",3
2591,"Influence machine learning strategy for a program/project; explores design options to assess efficiency and impact, develop approaches to improve robustness and rigour",2
2592,Create messaging standards for our messaging platforms.,3
2593,"Work on agile teams by participating in story grooming, estimation, enablers and driving them to closure.",3
2594,"Objectively evaluate an individual knowledge, skills and abilities for competitive employment",4
2595,"Identify data sources both internally and externally that can be used to improve insight into activity, implement data exploration technologies accordingly",4
2596,Communicates clearly (written and oral) with other company personnel and the customer as required,3
2597,Support TAC/Field Training and Transfer of Information (TOI) processes,3
2598,"Drive continuous improvement by partnering stakeholders implementing new business system solutions, Service related processes, and support future-growth initiatives",4
2599,Be a thought-leader at the company for analytic issues and assist with developing and guiding citizen data scientists throughout various business units.,1
2600,Apply knowledge/experience developing and testing applications on Windows and Linux systems for 32-bit and 64-bit systems,3
2601,Responsible for the execution or review of required validation activities supporting BDI initiatives.,3
2602,"Develop training materials and short videos, and conduct webinars.",3
2603,Ability and interest to use social media to develop and maintain a good professional network;,3
2604,Provide pre-sales support for sales teams,3
2605,"Provide analysis, requirements and algorithm design, implementation, integration, verification, and maintenance of artificial intelligence software systems. Collaborate across multi-functional teams to identify opportunities for improving IT services enterprise",3
2606,Adhere to technical standards and best practices.,3
2607,"Actively participate on an Agile scrum team, sizing work efforts and decomposing functionality and iteratively delivering value.",3
2608,Provide onsite PS support on production customer when required.,3
2609,Provides technical support and leadership on HANA Cloud systems including establishing standards and requirements,4
2610,"Assess, recommend & implement appropriate technical approaches in migrating legacy code assets (AngularJS / Angular 1.x) to latest technical versions or standards",3
2611,Research and test existing tools and databases and provide software solution recommendations,3
2612,Perform thorough quality code reviews,3
2613,"Assess the customer's product application, troubleshoot and diagnosis issues through research and/or re-creation to determine the root cause",3
2614,Coordinate with AI and Olfactometry teams at the Parent Company to align and prioritize with global strategy on data science and machine learning,1
2615,Collaborate with cross-functional teams to implement full-stack solutions for new and existing products.,3
2616,"Reviews, prepares, designs, integrates data, and tests.",4
2617,"Support coordination of all production systems, information systems, and technology infrastructure necessary to support application/platform prior to deployment.",3
2618,"Learn aspects of Store Operations, Delivery, and E-Commerce in the Quick-Service Restaurant industry for productive consulting",2
2619,"Attends all sales meetings, dental conventions, seminars, and Career Development training programs as instructed by Regional Manager.",4
2620,"Work with other team members to ensure program goals are met, schedules are maintained and problems are resolved",3
2621,"Develop sophisticated advanced analytics models; including creating, validating, analyzing and explaining the data used for model development.",1
2622,Collaborate across teams in the organization to continually evaluate and improve the development processes,3
2623,Design automated tests to perform in-depth testing of product throughput and response times,3
2624,"Develop solutions that complement and enhance capabilities delivered by other on-site, off-shore, and outsourced developers",3
2625,"Perform integration testing, regression testing, and formal qualification testing in an agile software development environment.",3
2626,"Adept at statistical analysis, sensitivity, specificity, robustness in a noisy environment",3
2627,Provide effective customer support and interface while working through the system development phases.,3
2628,Updates literature and software,3
2629,Research new releases and updates,4
2630,"Support ML Model production releases (automation, testing, deploying)",2
2631,"Working on cross-functional teams, collaborating and effectively communicating within your development team and with the customer team.",3
2632,"Implement and maintain batch process, applications and API",1
2633,"Work closely with the software engineering team, data engineers and business representative in the delivery of analytic software.",1
2634,Document and implement all policies and procedures that are not in place to meet PCI Requirements.,4
2635,Closely work with the product and engineering teams to ensure high impact products,1
2636,Creating exception reports to identify fields of incorrect data,4
